State,County,TotalPop
Kansas,Greenwood,6393
Kansas,Hamilton,2586
Kansas,Harper,5861
Kansas,Harvey,34835
Kansas,Haskell,4130
Kansas,Hodgeman,1939
Kansas,Jackson,13400
Kansas,Jefferson,18898
Kansas,Jewell,3038
Kansas,Johnson,566814
Kansas,Kearny,3952
Kansas,Kingman,7790
Kansas,Kiowa,2536
Kansas,Labette,21048
Kansas,Lane,1674
Kansas,Leavenworth,78227
Kansas,Lincoln,3154
Kansas,Linn,9528
Kansas,Logan,2793
Kansas,Lyon,33462
Kansas,McPherson,29252
Kansas,Marion,12290
Kansas,Marshall,10005
Kansas,Meade,4383
Kansas,Miami,32688
Kansas,Mitchell,6296
Kansas,Montgomery,34184
Kansas,Morris,5750
Kansas,Morton,3106
Kansas,Nemaha,10159
Kansas,Neosho,16423
Kansas,Ness,3077
Kansas,Norton,5590
Kansas,Osage,16080
Kansas,Osborne,3782
Kansas,Ottawa,6048
Kansas,Pawnee,6911
Kansas,Phillips,5501
Kansas,Pottawatomie,22625
Kansas,Pratt,9739
Kansas,Rawlins,2545
Kansas,Reno,64058
Kansas,Republic,4806
Kansas,Rice,10014
Kansas,Riley,75022
Kansas,Rooks,5186
Kansas,Rush,3184
Kansas,Russell,6988
Kansas,Saline,55735
Kansas,Scott,4928
Kansas,Sedgwick,506529
Kansas,Seward,23274
Kansas,Shawnee,178792
Kansas,Sheridan,2531
Kansas,Sherman,6054
Kansas,Smith,3740
Kansas,Stafford,4320
Kansas,Stanton,2149
Kansas,Stevens,5772
Kansas,Sumner,23638
Kansas,Thomas,7925
Kansas,Trego,2951
Kansas,Wabaunsee,6997
Kansas,Wallace,1595
Kansas,Washington,5686
Kansas,Wichita,2204
Kansas,Wilson,9061
Kansas,Woodson,3211
Kansas,Wyandotte,160806
Kentucky,Adair,18852
Kentucky,Allen,20355
Kentucky,Anderson,21761
Kentucky,Ballard,8256
Kentucky,Barren,42925
Kentucky,Bath,11978
Kentucky,Bell,27950
Kentucky,Boone,124617
Kentucky,Bourbon,20013
